restaurant_id,rating,comment,created_at
17,4.67,지난번에 반미가 맛있어서 다시왔어요!! 반미 최고에요 쌀국수를 안먹는 저는 반미에반해서 갑니당,2025-04-04
17,4.67,고수 추가 했더니 이 만큼이나....! 팟타이도 너무 맛있어요!!!!!!! 우연히 들어왔는데 너무 만족해요,2025-04-27
17,4.67,"오픈하고 벌써 4번째 방문,,, 그만큼 너무 맛있어요 ㅠ 현지인 분들이 만들어주심. 추천은 왕새우 팟타이!!!",2025-03-30
17,4.67,근처에 볼일 있어서 욌다가 돌아가는 중에 맛있어 보여서 들어왔는데 맛있습니다 현지분들이 직접해서 더 현지 맛에 가까운 거 같아요 최고에요!!,2025-04-30
18,4.68,새우볶음밥 쉬림프라이스롤 고기듬뿍쌀국수 맵곰고기듬뿍쌀국수 먹었어요! 모두 다 너무 맛있어요!,2025-04-26
18,4.68,어제도 방문했는데 또 생각나서 왔어요 ㅋㅋㅋ,2025-03-16
18,4.68,쌀국수 너무 구수하고 맛있고 쉬림프라이스롤도 바삭해서 입에 자꾸 들어갑니다. 간만에 맛있는 쌀국수 먹었어요,2025-04-24
18,4.68,처음먹으러 왔는데 너무 마음에들어요!! 음식도 너무 맛있고 또 먹으러 오고 싶어요!! 요기는 1인분짜가 있어서 너무 좋았어요!,2025-04-17
18,4.68,국물 진하고 맛있어용 ㅎ 꿔이 찍어먹는 것도 별미네요,2025-05-04
18,4.68,남자친구가 쌀국수를 좋아해서 방문해봤는데 분짜도 너무 맛있고 다 너무 맛나요!! 또 오고싶어요~~,2025-04-10
19,4.44,조용하시고 쾌적하고 친절한 매장 분위기,2025-04-12
19,4.44,처음 방문한곳~ 추운날 쌀국수 한그릇먹어주니 온몸이 따뜻하게녹네요^-^,2025-02-24
19,4.44,"사장님도 너무 친절하시고, 면에 숙주까지 리필 가능이라니... 너무 최고의 가게입니다. 잘 먹고 갑니다!!",2025-04-17
19,4.44,양도 완전 푸짐하고 고기가 보들보들 너무 맛있어요!! 조용하게 혼밥하기 좋은 곳입니다 : ),2025-03-21
19,4.44,쌀국수야 당연히 맛있고 매니저 친절해요,2025-02-15
19,4.44,베트남 스태프들로 바뀌신 이후로 더욱 친절하시고 깔끔해졌네요 국물 맛도 옛날처럼 진해지고요 감사합니다!,2025-04-10
20,4.55,오랜만에 풋팟퐁커리 배부르게 먹었어요,2025-03-08
