id,restaurant_id,name,price,description,image_url
79,128,아구찜1인분＋공기밥1개,27000.0,혼자 아구찜을 찾으시는 분들을 위해 배달전용으로 만든 1인아구찜!,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F16CDD838BCD94E3CB74246D83337F7A1
80,128,아구수육（중）,60000.0,3~4인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5001994CDDA9455E87D270ED2E214662
81,128,아구수육（대）,70000.0,4~5인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F839539ACE3514B33A2F153849F9EB424
82,128,해물탕（중） （비조리）,69000.0,3~4인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA049AACA61F246178570D6E4FE2F605C
83,128,해물탕（대） （비조리）,79000.0,4~5인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC0CD6BC241DB4015B6A41A6B508C4BFD
84,128,아구매운탕（중） （비조리）,60000.0,3~4인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F08594FDA1058474084D95B44A501CEF9
85,128,아구매운탕（대） （비조리）,70000.0,4~5인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE24C38B86DDC4EE4B64A70269A4500D4
86,128,아구탕지리（소）（비조리）,42000.0,2~3인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F445514295E444B268BAAF08DF3FAF594
87,128,아구탕지리（중） （비조리）,60000.0,3~4인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0F766A0F00B442739771272573E3F803
88,128,아구탕지리（대） （비조리）,70000.0,4~5인까지 가능합니다.,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6D7EEA6E777448DBB8BE0186379CB987
89,128,공기밥,1000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F96D37247D22345D885ABFE4947819AE7
90,128,볶음밥,3000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F10B308209EDE4547938B5D661437DD17
91,128,콜라(코카콜라)355ml,2000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FACF8ADE9606E400AB44E80855FCC66CB
92,128,사이다(칠성)355ml,2000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F2EAC0A41E971477AB6C7ECABBF19E635
93,128,제로콜라(펩시)355ml,2000.0,,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FDADFD67CC8D04A629EE89EF1D92F25CD
94,129,능이 유황오리 백숙 한마리,80000.0,찰밥 제공 （ 전복이나 산낙지를 추가해서 드시면 더 맛있어요~ ^^）,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FCAFE419C9E1A41DA9E42F4F662339247
95,129,능이 토종 닭백숙,80000.0,찰밥 제공 （ 전복이나 산낙지를 추가해서 드시면 더 맛있어요~^^）,https://img1.kakaocdn.net/cthumb/local/C224x224.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F431CF532C87347EE98C52AE74C2D7006
